docname,topic,proportion
Bible_page_1048.txt,026,0.290797
Bible_page_1048.txt,033,0.163438
Bible_page_1048.txt,015,0.162765
Bible_page_1048.txt,014,0.134019
Bible_page_1048.txt,034,0.133561
Bible_page_1048.txt,032,0.115421
Bible_page_455.txt,002,0.447407
Bible_page_455.txt,008,0.216369
Bible_page_455.txt,022,0.160665
Bible_page_455.txt,014,0.09212
Bible_page_455.txt,013,0.083439
GuruGranth_page_923.txt,006,0.530331
GuruGranth_page_923.txt,021,0.298295
GuruGranth_page_923.txt,001,0.114057
GuruGranth_page_923.txt,000,0.034002
GuruGranth_page_923.txt,003,0.023315
GuruGranth_page_336.txt,012,0.840746
GuruGranth_page_336.txt,001,0.106832
GuruGranth_page_336.txt,000,0.052422
GuruGranth_page_995.txt,021,0.665262
GuruGranth_page_995.txt,006,0.206767
GuruGranth_page_995.txt,012,0.127971
GuruGranth_page_159.txt,004,0.797124
GuruGranth_page_159.txt,012,0.124563
GuruGranth_page_159.txt,001,0.078313
Bible_page_2079.txt,000,0.367906
Bible_page_2079.txt,003,0.250876
Bible_page_2079.txt,014,0.191806
Bible_page_2079.txt,016,0.189411
GuruGranth_page_660.txt,004,0.537538
GuruGranth_page_660.txt,012,0.258608
GuruGranth_page_660.txt,001,0.108762
GuruGranth_page_660.txt,006,0.095091
Bible_page_537.txt,015,0.717074
Bible_page_537.txt,009,0.282926
Bible_page_1367.txt,027,0.929606
Bible_page_1367.txt,000,0.070394
GuruGranth_page_127.txt,004,0.869013
GuruGranth_page_127.txt,012,0.107666
GuruGranth_page_127.txt,001,0.02332
Bible_page_1334.txt,000,0.688737
Bible_page_1334.txt,003,0.311264
Bible_page_1338.txt,010,0.902937
Bible_page_1338.txt,028,0.097062
GuruGranth_page_526.txt,006,0.725341
GuruGranth_page_526.txt,021,0.174848
GuruGranth_page_526.txt,012,0.09981
GuruGranth_page_43.txt,001,0.418139
GuruGranth_page_43.txt,021,0.341146
GuruGranth_page_43.txt,004,0.192633
GuruGranth_page_43.txt,006,0.048082
Bible_page_63.txt,002,0.391574
Bible_page_63.txt,032,0.344014
Bible_page_63.txt,016,0.264412
Bible_page_2126.txt,016,0.341939
Bible_page_2126.txt,024,0.271311
Bible_page_2126.txt,011,0.24394
Bible_page_2126.txt,013,0.142811
Bible_page_928.txt,029,0.752895
Bible_page_928.txt,009,0.186821
Bible_page_928.txt,008,0.060285
Bible_page_515.txt,009,0.912835
Bible_page_515.txt,010,0.087165
Bible_page_1315.txt,027,0.397733
Bible_page_1315.txt,000,0.306374
Bible_page_1315.txt,025,0.295893
GuruGranth_page_843.txt,006,0.463827
GuruGranth_page_843.txt,004,0.420895
GuruGranth_page_843.txt,021,0.069538
GuruGranth_page_843.txt,001,0.045739
Bible_page_2490.txt,020,0.665146
Bible_page_2490.txt,011,0.177798
Bible_page_2490.txt,014,0.157056
Taoist_page_33.txt,007,0.570689
Taoist_page_33.txt,031,0.219772
Taoist_page_33.txt,011,0.105304
Taoist_page_33.txt,004,0.104235
GuruGranth_page_210.txt,001,0.499281
GuruGranth_page_210.txt,021,0.476652
GuruGranth_page_210.txt,006,0.024067
